,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist,song name
172,0.356,0.176,8,-8.291,1,0.0391,0.843,0.0,0.231,0.289,170.425,audio_features,10ImcQk9tihY1EKMDIbvXJ,spotify:track:10ImcQk9tihY1EKMDIbvXJ,https://api.spotify.com/v1/tracks/10ImcQk9tihY1EKMDIbvXJ,https://api.spotify.com/v1/audio-analysis/10ImcQk9tihY1EKMDIbvXJ,403962,1,Adele,To Be Loved
173,0.346,0.552,0,-6.864,0,0.0282,0.417,0.0,0.114,0.0789,75.881,audio_features,6VObnIkLVruX4UVyxWhlqm,spotify:track:6VObnIkLVruX4UVyxWhlqm,https://api.spotify.com/v1/tracks/6VObnIkLVruX4UVyxWhlqm,https://api.spotify.com/v1/audio-analysis/6VObnIkLVruX4UVyxWhlqm,286480,4,Adele,Skyfall
174,0.734,0.497,8,-9.666,1,0.166,0.67,2.35e-05,0.194,0.307,127.989,audio_features,496vIKS2INz840xZaKncvR,spotify:track:496vIKS2INz840xZaKncvR,https://api.spotify.com/v1/tracks/496vIKS2INz840xZaKncvR,https://api.spotify.com/v1/audio-analysis/496vIKS2INz840xZaKncvR,161829,3,Adele,All Night Parking (with Erroll Garner) Interlude
175,0.353,0.446,0,-6.044,0,0.0285,0.95,1.35e-05,0.132,0.211,155.476,audio_features,4oy98QoABnGKpvapDkI525,spotify:track:4oy98QoABnGKpvapDkI525,https://api.spotify.com/v1/tracks/4oy98QoABnGKpvapDkI525,https://api.spotify.com/v1/audio-analysis/4oy98QoABnGKpvapDkI525,250000,4,Adele,Turning Tables
176,0.756,0.713,7,-6.917,1,0.102,0.523,3.35e-06,0.248,0.59,125.064,audio_features,09u787BYeYIGd2mFIJ505t,spotify:track:09u787BYeYIGd2mFIJ505t,https://api.spotify.com/v1/tracks/09u787BYeYIGd2mFIJ505t,https://api.spotify.com/v1/audio-analysis/09u787BYeYIGd2mFIJ505t,255278,4,Adele,Cry Your Heart Out
177,0.269,0.591,10,-5.79,0,0.0416,0.453,0.000695,0.0702,0.228,183.793,audio_features,2j3GxEsbNYNeEzz86wDY4J,spotify:track:2j3GxEsbNYNeEzz86wDY4J,https://api.spotify.com/v1/tracks/2j3GxEsbNYNeEzz86wDY4J,https://api.spotify.com/v1/audio-analysis/2j3GxEsbNYNeEzz86wDY4J,403044,4,Adele,Love Is A Game
178,0.366,0.364,0,-7.814,1,0.0433,0.858,1.15e-05,0.165,0.459,165.902,audio_features,6bGMSP3H9YqkmaLnaJTIoF,spotify:track:6bGMSP3H9YqkmaLnaJTIoF,https://api.spotify.com/v1/tracks/6bGMSP3H9YqkmaLnaJTIoF,https://api.spotify.com/v1/audio-analysis/6bGMSP3H9YqkmaLnaJTIoF,366004,4,Adele,Hold On
179,0.387,0.253,5,-8.901,1,0.0336,0.798,0.000159,0.0848,0.134,68.004,audio_features,13CVSGLSFl4UxpDVR6u3dq,spotify:track:13CVSGLSFl4UxpDVR6u3dq,https://api.spotify.com/v1/tracks/13CVSGLSFl4UxpDVR6u3dq,https://api.spotify.com/v1/audio-analysis/13CVSGLSFl4UxpDVR6u3dq,182163,5,Adele,Strangers By Nature
180,0.594,0.37,4,-10.561,0,0.173,0.749,3.2e-05,0.132,0.329,145.601,audio_features,2c6xRsQBv7pynuhYhWoHxo,spotify:track:2c6xRsQBv7pynuhYhWoHxo,https://api.spotify.com/v1/tracks/2c6xRsQBv7pynuhYhWoHxo,https://api.spotify.com/v1/audio-analysis/2c6xRsQBv7pynuhYhWoHxo,300248,4,Adele,Woman Like Me
181,0.405,0.3,2,-6.475,1,0.0378,0.894,0.0,0.154,0.24,162.355,audio_features,5CjKwY7FUJgKSwTVzoQIaU,spotify:track:5CjKwY7FUJgKSwTVzoQIaU,https://api.spotify.com/v1/tracks/5CjKwY7FUJgKSwTVzoQIaU,https://api.spotify.com/v1/audio-analysis/5CjKwY7FUJgKSwTVzoQIaU,245427,3,Adele,Remedy
182,0.72,0.274,1,-7.623,0,0.0276,0.742,0.0,0.11,0.179,105.929,audio_features,0ijHEBUBXIJPp5ubUkDLQi,spotify:track:0ijHEBUBXIJPp5ubUkDLQi,https://api.spotify.com/v1/tracks/0ijHEBUBXIJPp5ubUkDLQi,https://api.spotify.com/v1/audio-analysis/0ijHEBUBXIJPp5ubUkDLQi,227066,4,Adele,Million Years Ago
183,0.644,0.4,3,-5.713,1,0.0304,0.214,0.0,0.0866,0.227,115.025,audio_features,4RyjMERDcCJHTkFpXzgUw4,spotify:track:4RyjMERDcCJHTkFpXzgUw4,https://api.spotify.com/v1/tracks/4RyjMERDcCJHTkFpXzgUw4,https://api.spotify.com/v1/audio-analysis/4RyjMERDcCJHTkFpXzgUw4,243200,4,Adele,Don't You Remember
184,0.528,0.468,5,-5.306,1,0.0287,0.295,0.0,0.165,0.185,154.974,audio_features,43dcCpx19I0R4zLr4KH1UC,spotify:track:43dcCpx19I0R4zLr4KH1UC,https://api.spotify.com/v1/tracks/43dcCpx19I0R4zLr4KH1UC,https://api.spotify.com/v1/audio-analysis/43dcCpx19I0R4zLr4KH1UC,348227,3,Adele,One And Only
185,0.382,0.578,5,-4.246,1,0.047,0.00982,1.44e-05,0.433,0.156,113.072,audio_features,6QSJvH2m7QLAiFIywwzCVi,spotify:track:6QSJvH2m7QLAiFIywwzCVi,https://api.spotify.com/v1/tracks/6QSJvH2m7QLAiFIywwzCVi,https://api.spotify.com/v1/audio-analysis/6QSJvH2m7QLAiFIywwzCVi,348625,4,Adele,I Miss You
186,0.436,0.336,10,-8.517,0,0.037,0.962,3.4e-05,0.102,0.21,122.456,audio_features,19QzuPTNZHJ2SEu5LCQTGI,spotify:track:19QzuPTNZHJ2SEu5LCQTGI,https://api.spotify.com/v1/tracks/19QzuPTNZHJ2SEu5LCQTGI,https://api.spotify.com/v1/audio-analysis/19QzuPTNZHJ2SEu5LCQTGI,271227,4,Adele,Hometown Glory
187,0.807,0.105,9,-13.188,1,0.0412,0.964,0.0,0.103,0.372,109.014,audio_features,1JZkTZEXkLvkR2oQ9PSKuO,spotify:track:1JZkTZEXkLvkR2oQ9PSKuO,https://api.spotify.com/v1/tracks/1JZkTZEXkLvkR2oQ9PSKuO,https://api.spotify.com/v1/audio-analysis/1JZkTZEXkLvkR2oQ9PSKuO,220507,4,Adele,Daydreamer
188,0.384,0.585,1,-5.588,1,0.0311,0.0591,1.77e-06,0.116,0.252,82.378,audio_features,3hwu7jZD2TjvWCeHzNlgSE,spotify:track:3hwu7jZD2TjvWCeHzNlgSE,https://api.spotify.com/v1/tracks/3hwu7jZD2TjvWCeHzNlgSE,https://api.spotify.com/v1/audio-analysis/3hwu7jZD2TjvWCeHzNlgSE,225427,4,Adele,River Lea
189,0.689,0.369,0,-9.407,0,0.0278,0.693,0.00236,0.111,0.361,116.885,audio_features,7nm6DlSzzJTH1rk2e6EgJz,spotify:track:7nm6DlSzzJTH1rk2e6EgJz,https://api.spotify.com/v1/tracks/7nm6DlSzzJTH1rk2e6EgJz,https://api.spotify.com/v1/audio-analysis/7nm6DlSzzJTH1rk2e6EgJz,316240,4,Adele,Lovesong
